fit_power_watt,frequency_Hz
1.1774730723882238e-09,262131065.5327664
1.177479776869757e-09,262531265.63281643
1.1774865661657875e-09,262931465.73286644
1.1774934417114245e-09,263331665.83291647
1.1775004049722247e-09,263731865.9329665
1.1775074574449841e-09,264132066.03301653
1.1775146006585109e-09,264532266.13306653
1.1775218361744793e-09,264932466.23311657
1.1775291655882566e-09,265332666.3331666
1.1775365905298e-09,265732866.43321663
1.1775441126645412e-09,266133066.53326666
1.1775517336943228e-09,266533266.63331667
1.1775594553583501e-09,266933466.7333667
1.1775672794342053e-09,267333666.83341673
1.1775752077388374e-09,267733866.93346676
1.1775832421295957e-09,268134067.03351676
1.1775913845053844e-09,268534267.1335668
1.1775996368076914e-09,268934467.2336168
1.177608001021815e-09,269334667.33366686
1.1776164791779853e-09,269734867.4337169
1.1776250733526577e-09,270135067.5337669
1.1776337856697216e-09,270535267.6338169
1.1776426183018331e-09,270935467.73386693
1.177651573471768e-09,271335667.83391696
1.1776606534538038e-09,271735867.933967
1.1776698605751396e-09,272136068.034017
1.1776791972174237e-09,272536268.13406706
1.1776886658182457e-09,272936468.2341171
1.177698268872727e-09,273336668.3341671
1.1777080089351682e-09,273736868.43421715
1.1777178886207452e-09,274137068.5342671
1.177727910607221e-09,274537268.63431716
1.17773807763679e-09,274937468.7343672
1.1777483925179205e-09,275337668.8344172
1.1777588581272835e-09,275737868.93446726
1.1777694774117625e-09,276138069.0345173
1.1777802533905082e-09,276538269.1345673
1.1777911891570652e-09,276938469.23461735
1.1778022878815862e-09,277338669.3346673
1.1778135528131232e-09,277738869.43471736
1.1778249872819772e-09,278139069.5347674
1.1778365947021544e-09,278539269.6348174
1.177848378573908e-09,278939469.73486745
1.1778603424863322e-09,279339669.8349175
1.1778724901201208e-09,279739869.9349675
1.1778848252503346e-09,280140070.03501755
